代號,名稱,交易標的,標的代號
SMF,群益台灣精選高息ETF期貨,群益台灣精選高息ETF,919
SNF,復華台灣科技優息ETF期貨,復華台灣科技優息ETF,929
SOF,半導體30期貨,臺灣指數公司臺灣全市場半導體精選30指數,TWI043
SPF,美國標普500期貨,美國S&P 500股價指數,
SQF,中信高評級公司債ETF期貨,中信高評級公司債ETF,00772B
SUF,元大台灣價值高息ETF期貨,元大台灣價值高息ETF,940
SXF,美國費城半導體期貨,美國費城半導體股價指數,
SYF,家登期貨,家登,3680
TEF,電子期貨,臺灣證券交易所電子類股價指數,TWB23
TFF,金融期貨,臺灣證券交易所金融保險類股價指數,TWB28
TGF,臺幣黃金期貨,成色千分之九九九點九之黃金,
TJF,東證期貨,"東京證券交易所股價指數(Tokyo Stock Price Index, TOPIX)",
TMF,微型臺指期貨,臺灣證券交易所發行量加權股價指數,TWA00
TXF,臺股期貨,臺灣證券交易所發行量加權股價指數,TWA00
UAF,士電期貨,士電,1503
UBF,亞翔期貨,亞翔,6139
UCF,廣明期貨,廣明,6188
UDF,美國道瓊期貨,美國道瓊工業平均股價指數,
UEF,上海商銀期貨,上海商銀,5876
UFF,台塑化期貨,台塑化,6505
UGF,達發期貨,達發,6526
UJF,群益ESG投等債20+ETF期貨,群益ESG投等債20+ETF,00937B
UKF,國泰20年美債ETF期貨,國泰20年美債ETF,00687B
UMF,世芯-KY期貨,世芯-KY,3661
UPF,保瑞期貨,保瑞,6472
UTF,一詮期貨,一詮,2486
UUF,台灣虎航期貨,台灣虎航,6757
UVF,旺矽期貨,旺矽,6223
XAF,澳幣兌美元期貨,澳幣兌美元匯率,
XBF,英鎊兌美元期貨,英鎊兌美元匯率,
XEF,歐元兌美元期貨,歐元兌美元匯率,
XIF,非金電期貨,臺灣證券交易所未含金融電子股發行量加權股價指數,TWA06
XJF,美元兌日圓期貨,美元兌日圓匯率,
